Department,GroupName,EmployeeID,Shift,StartDate,EndDate
Engineering,Research and Development,11,Day,1998-02-24T00:00:00,
Engineering,Research and Development,270,Day,2001-02-18T00:00:00,
Engineering,Research and Development,12,Day,1998-03-03T00:00:00,
Engineering,Research and Development,3,Day,1997-12-12T00:00:00,
Engineering,Research and Development,4,Day,1998-01-05T00:00:00,2000-06-30T00:00:00
Engineering,Research and Development,267,Day,2001-01-30T00:00:00,
Engineering,Research and Development,9,Day,1998-02-06T00:00:00,
Tool Design,Research and Development,4,Day,2000-07-01T00:00:00,
Tool Design,Research and Development,5,Day,1998-01-11T00:00:00,
Tool Design,Research and Development,263,Day,2001-01-05T00:00:00,
Tool Design,Research and Development,265,Day,2001-01-23T00:00:00,
Sales,Sales and Marketing,275,Day,2001-07-01T00:00:00,
Sales,Sales and Marketing,278,Day,2001-07-01T00:00:00,
Sales,Sales and Marketing,283,Day,2001-07-01T00:00:00,
Sales,Sales and Marketing,279,Day,2001-07-01T00:00:00,
Sales,Sales and Marketing,277,Day,2001-07-01T00:00:00,
Sales,Sales and Marketing,276,Day,2001-07-01T00:00:00,
Sales,Sales and Marketing,280,Day,2001-07-01T00:00:00,
Sales,Sales and Marketing,281,Day,2001-07-01T00:00:00,
Sales,Sales and Marketing,282,Day,2001-07-01T00:00:00,
Sales,Sales and Marketing,285,Day,2002-07-01T00:00:00,
Sales,Sales and Marketing,286,Day,2002-07-01T00:00:00,
Sales,Sales and Marketing,287,Day,2002-11-01T00:00:00,
Sales,Sales and Marketing,289,Day,2003-07-01T00:00:00,
Sales,Sales and Marketing,290,Day,2003-07-01T00:00:00,
Sales,Sales and Marketing,273,Day,2001-03-18T00:00:00,
Sales,Sales and Marketing,284,Day,2002-05-18T00:00:00,
Sales,Sales and Marketing,268,Day,2001-02-04T00:00:00,
Sales,Sales and Marketing,288,Day,2003-04-15T00:00:00,
Marketing,Sales and Marketing,6,Day,1999-08-16T00:00:00,
Marketing,Sales and Marketing,272,Day,2001-03-17T00:00:00,
Marketing,Sales and Marketing,2,Day,1997-02-26T00:00:00,
Marketing,Sales and Marketing,271,Day,2001-03-10T00:00:00,
Marketing,Sales and Marketing,119,Day,1999-02-19T00:00:00,
Marketing,Sales and Marketing,203,Day,1999-04-03T00:00:00,
Marketing,Sales and Marketing,274,Day,2001-03-28T00:00:00,2001-08-30T00:00:00
Marketing,Sales and Marketing,46,Day,1999-01-13T00:00:00,
Marketing,Sales and Marketing,106,Day,1999-02-13T00:00:00,
Marketing,Sales and Marketing,269,Day,2001-02-07T00:00:00,
Purchasing,Inventory Management,238,Day,2000-02-24T00:00:00,
Purchasing,Inventory Management,274,Day,2002-08-16T00:00:00,
Purchasing,Inventory Management,261,Day,2000-04-09T00:00:00,
Purchasing,Inventory Management,266,Day,2001-01-25T00:00:00,
Purchasing,Inventory Management,198,Day,1999-04-01T00:00:00,
Purchasing,Inventory Management,223,Day,2000-01-18T00:00:00,
Purchasing,Inventory Management,244,Day,2000-03-03T00:00:00,
Purchasing,Inventory Management,233,Day,2000-02-12T00:00:00,
Purchasing,Inventory Management,241,Day,2000-02-28T00:00:00,
Purchasing,Inventory Management,6,Day,1998-01-20T00:00:00,1999-08-15T00:00:00
Purchasing,Inventory Management,231,Day,2000-02-05T00:00:00,
Purchasing,Inventory Management,264,Day,2001-01-06T00:00:00,
Purchasing,Inventory Management,164,Day,1999-03-14T00:00:00,
Research and Development,Research and Development,114,Day,1999-02-17T00:00:00,
Research and Development,Research and Development,158,Day,1999-03-12T00:00:00,
Research and Development,Research and Development,217,Day,1999-06-04T00:00:00,
Research and Development,Research and Development,79,Day,1999-01-30T00:00:00,
Production,Manufacturing,247,Day,2000-03-08T00:00:00,
Production,Manufacturing,246,Evening,2000-03-08T00:00:00,
Production,Manufacturing,250,Day,2000-03-16T00:00:00,
Production,Manufacturing,32,Day,1999-01-08T00:00:00,
Production,Manufacturing,33,Evening,1999-01-08T00:00:00,
Production,Manufacturing,36,Day,1999-01-08T00:00:00,
Production,Manufacturing,51,Evening,1999-01-16T00:00:00,
Production,Manufacturing,53,Evening,1999-01-16T00:00:00,
Production,Manufacturing,52,Day,1999-01-16T00:00:00,
Production,Manufacturing,65,Evening,1999-01-24T00:00:00,
Production,Manufacturing,97,Night,1999-02-08T00:00:00,
Production,Manufacturing,96,Day,1999-02-08T00:00:00,2001-10-01T00:00:00
Production,Manufacturing,112,Evening,1999-02-16T00:00:00,
Production,Manufacturing,129,Day,1999-02-24T00:00:00,
Production,Manufacturing,151,Day,1999-03-08T00:00:00,
Production,Manufacturing,167,Night,1999-03-16T00:00:00,
Production,Manufacturing,182,Night,1999-03-24T00:00:00,
Production,Manufacturing,181,Night,1999-03-24T00:00:00,
Production,Manufacturing,214,Evening,1999-04-08T00:00:00,
Production,Manufacturing,213,Day,1999-04-08T00:00:00,
Production,Manufacturing,235,Day,2000-02-17T00:00:00,
Production,Manufacturing,239,Day,2000-02-25T00:00:00,
Production,Manufacturing,240,Evening,2000-02-25T00:00:00,
Production,Manufacturing,243,Evening,2000-03-01T00:00:00,
Production,Manufacturing,37,Night,1999-01-09T00:00:00,
Production,Manufacturing,38,Day,1999-01-09T00:00:00,
Production,Manufacturing,55,Evening,1999-01-17T00:00:00,
Production,Manufacturing,67,Night,1999-01-25T00:00:00,
Production,Manufacturing,68,Day,1999-01-25T00:00:00,
Production,Manufacturing,81,Day,1999-02-01T00:00:00,
Production,Manufacturing,98,Night,1999-02-09T00:00:00,
Production,Manufacturing,113,Day,1999-02-17T00:00:00,
Production,Manufacturing,152,Day,1999-03-09T00:00:00,
Production,Manufacturing,153,Night,1999-03-09T00:00:00,
