EmployeeID,RateChangeDate,Rate,PayFrequency
1,1996-07-31T00:00:00,12.45,1
2,1997-02-26T00:00:00,13.4615,2
3,1997-12-12T00:00:00,43.2692,2
4,2002-01-15T00:00:00,29.8462,2
4,1998-01-05T00:00:00,8.62,2
4,2000-07-01T00:00:00,23.72,2
5,1998-01-11T00:00:00,25.0,2
6,1998-01-20T00:00:00,24.0,2
6,2002-06-01T00:00:00,37.5,2
6,1999-08-16T00:00:00,28.75,2
7,1998-01-26T00:00:00,25.0,2
8,1998-02-06T00:00:00,13.45,1
9,1998-02-06T00:00:00,32.6923,2
10,1998-02-07T00:00:00,13.45,1
11,1998-02-24T00:00:00,32.6923,2
12,1998-03-03T00:00:00,63.4615,2
13,1998-03-05T00:00:00,13.45,1
14,1998-03-11T00:00:00,25.0,2
15,1998-03-23T00:00:00,13.45,1
16,1998-03-30T00:00:00,25.0,2
17,1998-04-11T00:00:00,13.45,1
18,1998-04-18T00:00:00,25.0,2
19,1998-04-29T00:00:00,13.45,1
20,1999-01-02T00:00:00,9.5,1
21,1999-01-02T00:00:00,24.5192,2
22,1999-01-03T00:00:00,10.0,1
23,1999-01-03T00:00:00,10.0,1
24,2003-08-15T00:00:00,9.5,1
24,1999-01-03T00:00:00,6.5,1
24,2002-01-01T00:00:00,7.25,1
25,1999-01-04T00:00:00,25.0,2
26,1999-01-05T00:00:00,14.0,1
27,1999-01-05T00:00:00,15.0,1
28,1999-01-05T00:00:00,32.4519,2
29,1999-01-06T00:00:00,11.0,1
30,1999-01-07T00:00:00,27.1394,2
31,1999-01-07T00:00:00,15.0,1
32,1999-01-08T00:00:00,9.5,1
33,1999-01-08T00:00:00,9.5,1
34,1999-01-08T00:00:00,9.0,1
35,1999-01-08T00:00:00,9.5,2
36,1999-01-08T00:00:00,11.0,1
37,1999-01-09T00:00:00,12.45,1
38,1999-01-09T00:00:00,25.0,2
39,1999-01-10T00:00:00,14.0,1
40,1999-01-10T00:00:00,10.0,1
41,1999-01-10T00:00:00,21.6346,2
42,1999-01-12T00:00:00,50.4808,2
43,1999-01-13T00:00:00,11.0,1
44,1999-01-13T00:00:00,23.5577,2
45,1999-01-13T00:00:00,15.0,1
46,1999-01-13T00:00:00,14.4231,2
47,1999-01-14T00:00:00,18.2692,2
48,1999-01-15T00:00:00,11.0,1
49,1999-01-15T00:00:00,20.4327,2
50,1999-01-15T00:00:00,9.5,1
51,1999-01-16T00:00:00,25.0,2
52,1999-01-16T00:00:00,10.0,1
53,1999-01-16T00:00:00,12.45,1
54,1999-01-17T00:00:00,16.8269,2
55,1999-01-17T00:00:00,14.0,1
56,1999-01-18T00:00:00,15.0,1
57,1999-01-18T00:00:00,12.45,1
58,1999-01-18T00:00:00,11.0,1
59,1999-01-19T00:00:00,19.0,2
60,1999-01-20T00:00:00,11.0,1
61,1999-01-20T00:00:00,9.5,1
62,2003-08-15T00:00:00,9.5,1
62,1999-01-22T00:00:00,6.5,1
62,2002-01-01T00:00:00,7.25,1
63,1999-01-23T00:00:00,15.0,1
64,1999-01-23T00:00:00,25.0,2
65,1999-01-24T00:00:00,14.0,1
66,1999-01-24T00:00:00,27.4038,2
67,1999-01-25T00:00:00,11.0,1
68,1999-01-25T00:00:00,15.0,1
69,1999-01-26T00:00:00,11.0,1
70,1999-01-26T00:00:00,16.5865,2
71,1999-01-26T00:00:00,43.2692,2
72,1999-01-27T00:00:00,9.0,1
73,1999-01-27T00:00:00,9.5,1
74,1999-01-28T00:00:00,25.0,2
75,1999-01-28T00:00:00,10.0,1
76,1999-01-28T00:00:00,12.45,1
77,1999-01-29T00:00:00,10.5769,2
78,1999-01-29T00:00:00,14.0,1
79,1999-01-30T00:00:00,40.8654,2
80,1999-01-30T00:00:00,12.45,1
81,1999-02-01T00:00:00,15.0,1
82,1999-02-02T00:00:00,18.2692,2
83,1999-02-02T00:00:00,11.0,1
84,1999-02-03T00:00:00,12.45,1
85,1999-02-03T00:00:00,19.2308,2
86,1999-02-03T00:00:00,9.5,1
87,1999-02-04T00:00:00,25.0,2
88,1999-02-04T00:00:00,10.0,1
89,1999-02-05T00:00:00,12.45,1
90,1999-02-05T00:00:00,17.7885,2
91,1999-02-05T00:00:00,15.0,1
92,1999-02-05T00:00:00,14.0,1
93,1999-02-06T00:00:00,15.0,1
94,1999-02-07T00:00:00,19.0,2
95,1999-02-07T00:00:00,11.0,1
96,1998-02-08T00:00:00,8.62,2
96,2001-10-01T00:00:00,13.5,2
96,2002-02-01T00:00:00,16.0,2
97,1999-02-08T00:00:00,9.5,1
98,1999-02-09T00:00:00,10.0,1
99,1999-02-11T00:00:00,15.0,1
100,1999-02-12T00:00:00,14.0,1
101,1999-02-12T00:00:00,11.0,1
102,1999-02-12T00:00:00,27.4038,2
103,1999-02-13T00:00:00,13.4615,2
104,1999-02-13T00:00:00,11.0,1
105,1999-02-13T00:00:00,15.0,1
106,1999-02-13T00:00:00,14.4231,2
107,1999-02-14T00:00:00,11.0,1
108,1999-02-15T00:00:00,25.0,2
109,1999-02-15T00:00:00,125.5,2
110,1999-02-15T00:00:00,9.5,1
111,1999-02-16T00:00:00,10.5769,2
112,1999-02-16T00:00:00,10.0,1
113,2003-08-15T00:00:00,9.5,1
113,1999-02-17T00:00:00,6.5,1
113,2002-01-01T00:00:00,7.25,1
114,1999-02-17T00:00:00,40.8654,2
115,1999-02-18T00:00:00,14.0,1
116,1999-02-18T00:00:00,15.0,1
117,1999-02-18T00:00:00,38.4615,2
118,1999-02-19T00:00:00,11.0,1
119,1999-02-19T00:00:00,14.4231,2
120,1999-02-21T00:00:00,11.0,1
121,1999-02-21T00:00:00,9.5,2
122,1999-02-22T00:00:00,12.45,1
123,1999-02-22T00:00:00,25.0,2
124,1999-02-22T00:00:00,9.5,1
125,1999-02-23T00:00:00,14.0,1
126,1999-02-23T00:00:00,10.0,1
127,1999-02-23T00:00:00,10.25,2
128,1999-02-23T00:00:00,38.4615,2
129,1999-02-24T00:00:00,12.45,1
130,1999-02-25T00:00:00,19.0,2
131,1999-02-26T00:00:00,11.0,1
132,1999-02-27T00:00:00,16.0,2
133,1999-02-27T00:00:00,9.5,1
134,2003-08-15T00:00:00,9.5,1
134,1999-02-28T00:00:00,6.75,1
134,2002-01-01T00:00:00,7.25,1
135,1999-02-28T00:00:00,25.0,2
136,1999-02-28T00:00:00,10.0,1
137,1999-03-02T00:00:00,12.45,1
